"name_ovd","address","coordinate"
"п. Каменка | ФКУ «ИК № 1 УФСИН России по КБР»","ул. Им Мизиева Далхата Адрайевича, д.1, село Каменка, Кабардино-Балкарская Республика, 361423","43.53322,43.517623"
"Иркутск | ФКУ «ИК № 3 ГУФСИН России по Иркутской области»","ул Писарева, д. 13, город Иркутск, Иркутская область, 664019","52.294807,104.324571"
"с. Советское | ФКУ «ИК № 4 УФСИН России по КБР»","ул. Угнич, д.10, село Советское, Кабардино-Балкарская Республика, 361029","43.756318,43.768299"
"ФКУ СИЗО-1 УФСИН России по Кабардино-Балкарской Республике | Кабардино-Балкарская Республика","ул. Вологирова, д.20, город Нальчик, Кабардино-Балкарская Республика, 360051","43.480575,43.61552"
"Калининград | ФКУ «ИК № 8 УФСИН России по Калининградской области»","пр-т Победы, 205, Калининград, Калининградская обл., Россия, 236010","54.711544,20.427829"
"ФКУ СИЗО-1 УФСИН России по Калининградской области | Калининградская область","ул Ушакова, д. 2, город Калининград,  Калининградская область, 236022","54.720837,20.495958"
"ФКУ СИЗО-2 УФСИН России по Калининградской области | Калининградская область","Пригородная ул., д.2 к.а, город Черняховск, Калининградская область, 238151","54.645583,21.811236"
"Элиста | ФКУ ИК № 1 УФСИН России по Республике Калмыкия","Северный кв-л, д.10, город Элиста, Республика Калмыкия, 358007","46.324282,44.255229"
"п. Яшкуль | ФКУ КП № 3 УФСИН России по Республике Калмыкия","поселок Вахтовый, Республика Калмыкия, 359162","45.947851,45.190528"
"ФКУ СИЗО-1 УФСИН России по Республике Калмыкия | Республика Калмыкия","жилой квартал ""северный"" дом 9, город Элиста, Республика Калмыкия, 358000","46.279411,44.268006"
"Сухиничи | ФКУ «ИК № 5 УФСИН по Калужской области»","город Сухиничи, Калужская область, 249275","54.092596,35.349821"
"Калуга | ФКУ «КП № 6 УФСИН по Калужской области»","Николо-Козинская ул., 129, Калуга, Калужская обл., Россия, 248002","54.499596,36.276938"
"ФКУ СИЗО-1 УФСИН России по Калужской области | Калужская область","Николо-Козинская ул., 110А, Калуга, Калужская обл., Россия, 248002","54.500668,36.275783"
"Петропавловск-Камчатский | ФКУ «ИК № 5 УФСИН России по Камчатскому краю»","ул. 683007, Вулканная ул., 70, Петропавловск-Камчатский, Камчатский край, Россия, 683007","53.084064,158.631578"
"Елизово | ФКУ «ИК № 6 УФСИН России по Камчатскому краю»","Карьерная ул., 3, Елизово, Камчатский край, Россия, 684000","53.172262,158.39802"
"ФКУ СИЗО-1 УФСИН России по Камчатскому краю | Камчатский край","Строительная ул., 125, Петропавловск-Камчатский, Камчатский край, Россия, 683015","52.963152,158.709722"
"ФКУ СИЗО-1 ОФСИН России по Карачаево-Черкесской Республике (по республике Карачаево-Черкесия) | Карачаево-Черкесская Республика","ул. Первомайская д. 1, г. Черкесск, Карачаево-Черкесия, 369000","44.227392, 42.042961"
"пос. Надвоицы | ФКУ «ИК № 1 УФСИН России по Республике Карелия»","Карельская ул, д. 18, поселок городского типа Надвоицы, Республика Карелия, 186430","63.89019,34.253992"
"Сегежа | ФКУ «ИК № 7 УФСИН России по РК»","Лейгубская ул, город Сегежа, Республика Карелия, 186420","63.77132,34.29809"
"Петрозаводск | ФКУ «ИК № 9 УФСИН России по РК»","р-н Птицефабрика, город Петрозаводск, Республика Карелия, 185012","61.726382,34.438795"
"ФКУ СИЗО-1 УФСИН России по Республике Карелия | Республика Карелия","ул Герцена (Центр Р-Н), д. 47, город Петрозаводск, Республика Карелия, 185035 ","61.785986,34.361397"
"ФКУ СИЗО-2 УФСИН России по Республике Карелия | Республика Карелия","Лейгубская ул, город Сегежа, Республика Карелия, 186420","63.77132,34.29809"
