"name_ovd","address","coordinate_google","coordinate_yandex"
"п. Леплей | ФКУ «ИК № 5 УФСИН России по РМ»","пер. Песочный, д. 1, пос. Леплей, Зубово-Полянский район, Республика Мордовия, Россия, 431130","54.309742,42.856175","54.310289,42.853502"
"п. Торбеево | ФКУ «ИК № 6 УФСИН России по Республике Мордовия» (Торбеевский централ)","ул. Весенняя, д. 50, пос. Торбеево, Торбеевский район, Республика Мордовия, Россия, 431030","54.072067,43.246273","54.083328,43.223707"
"п. Сосновка | ФКУ «ИК № 7 УФСИН России по Республике Мордовия»","Центральная ул, д. 2, Зубово-Полянский р-н, п Сосновка, Республика Мордовия, Россия, 431120","54.302154,42.672669","54.268298,42.888536"
"п. Молочница | ФКУ «ИК № 12 УФСИН России по РМ»","431101, Россия, респ. Мордовия, Зубово-Полянский р-н, пос. Молочница, ул. Новая, д. 2","54.238073,42.878429","54.235437,42.886326"
"п. Парца | ФКУ «ИК № 13 УФСИН России по РМ»","ул. Центральная, д. 6А, пос. Парца, Зубово-Полянский район, Республика Мордовия, Россия, 431150","54.366969,42.858246","54.364923,42.852595"
"п. Парца | ФКУ ИК № 14 УФСИН России по Республике Мордовия","ул. Лесная, д. 7, пос. Парца, Зубово-Полянский район, Республика Мордовия, Россия, 431150","54.366969,42.858246","54.36698,42.861111"
"п. Озерный | ФКУ «ИК № 17 УФСИН России по РМ»","ул. Лесная, д. 3, пос. Озерный, Зубово-Полянский район, Республика Мордовия, Россия, 431161","54.408361,42.695517","54.408445,42.696943"
"Потьма | ФКУ «ИК № 18 УФСИН России по РМ»","ул. Красноармейская, д. 10, пос. Потьма, Зубово-Полянский район, Республика Мордовия, Россия, 431100","54.11633,42.905273","54.12212,42.910203"
"п. Леплей | ФКУ «ИК № 22 УФСИН России по Республике Мордовия»","Зубово-Полянский район, поселок Леплей, Республика Мордовия, Россия, 431130","54.309742,42.856175","54.309769,42.856278"
"п. Барашево | ФКУ «ЛИУ № 3 УФСИН России по РМ»","ул. Штабная, д. 1, пос. Барашево, Теньгушевский район, Республика Мордовия, Россия, 431200","54.535785,42.880434","54.52923,42.873022"
"ФКУ СИЗО-1 УФСИН России по Республике Мордовия | Республика Мордовия","Рабочая ул, д. 147, город Саранск, Республика Мордовия, Россия, 430003","54.195954,45.193715","54.194687,45.195392"
"ФКУ СИЗО-2 УФСИН России по Республике Мордовия | Республика Мордовия","пл. Дмитрова, д. 1, город Рузаевка, Республика Мордовия, Россия, 431448","54.056741,44.986337","54.061106,44.989911"
"п. Новое Гришино | ФКУ «ИК № 1 УФСИН по Московской области»","п. Новое Гришино, Дмитровский район, Московская область, Россия, 141862","56.197451,37.644188","56.196477,37.644396"
"п. имени Дзержинского | ФКУ «ИК № 5 УФСИН по Московской области»","пос. им. Дзержинского, д. 1, Можайский район, Московская область, Россия, 143202","55.507963,36.063243","55.50703,36.059894"
"Коломна | ФКУ «ИК № 6 УФСИН по Московской области»","проезд Колычевский, д. 6, г. Коломна, Московская область, Россия, 140405","55.061456,38.738928","55.061921,38.732507"
"Электросталь | ФКУ «КП № 3 УФСИН по Московской области»","ул. Горького, д. 40, г. Электросталь, Московская область, Россия, 144007","55.772211,38.458886","55.758726,38.451191"
"ФКУ СИЗО-1 УФСИН России по Московской области | Московская область","ул. Толстовская, д. 5, г. Ногинск, Московская область, Россия, 142400","55.854935,38.436525","55.854006,38.438255"
"ФКУ СИЗО-2 УФСИН России по Московской области | Московская область","ул. Горвал, д. 7, г. Волоколамск, Московская область, Россия, 143600","56.039505,35.957432","56.039153,35.956578"
"ФКУ СИЗО-3 УФСИН России по Московской области | Московская область","ул. Калужская, д. 50/7, г. Серпухов, Московская область, Россия, 142200","54.910823,37.415002","54.910586,37.414499"
"ФКУ СИЗО-4 УФСИН России по Московской области | Московская область","ул. Комсомольская, д. 7, г. Можайск, Московская область, Россия, 143202","55.506726,36.017288","55.506954,36.016972"
"ФКУ СИЗО-5 УФСИН России по Московской области | Московская область","ул. Советская, д. 2, г. Кашира, Московская область, Россия, 142900","54.795821,38.265831","54.832422,38.149905"
"ФКУ СИЗО-6 УФСИН России по Московской области | Московская область","ул. Гражданская, д. 112, г. Коломна, Московская область, Россия, 140400","55.102916,38.748523","55.10292,38.748551"
"ФКУ СИЗО-7 УФСИН России по Московской области | Московская область","ул. Октябрьская, д. 20, г. Егорьевск, Московская область, Россия, 140300","55.388841,39.062378","55.383245,39.031736"
"ФКУ СИЗО-8 УФСИН России по Московской области | Московская область","проспект Красной Армии, д. 58, г. Сергиев Посад, Московская область, Россия, 141300","56.29928,38.129737","56.299376,38.129504"
"ФКУ СИЗО-10 УФСИН России по Московской области | Московская область","п. им. Дзержинского, Можайский район, Московская область, Россия, 143202","55.507963,36.063243","55.508004,36.059364"
"ФКУ СИЗО-11 УФСИН России по Московской области | Московская область","ул. 1-я Ревсобраний, д. 17, г. Ногинск, Московская область, Россия, 142400","55.860114,38.458788","55.863242,38.473182"
"пгт. Мурмаши | ФКУ «ИК № 16 УФСИН России по Мурманской области»","Зеленая ул., д.14 к.а, Кольский район, поселок городского типа Мурмаши, Мурманская область, Россия, 184355","68.810945,32.78831","68.804975,32.774925"
"Мурманск | ФКУ «ИК № 17 УФСИН России по Мурманской области»","ул. Угольная база, д. 9, город Мурманск, Мурманская область, Россия, 183035","69.008239,33.087863","69.009461,33.065908"
"пгт. Мурмаши | ФКУ «ИК № 18 УФСИН России по Мурманской области»","Зеленая ул., д.10, Кольский район, поселок городского типа Мурмаши, Мурманская область, Россия, 184355","68.840741,33.09335","68.808501,32.779534"
"Оленегорск | ФКУ «КП № 24 УФСИН России по Мурманской области»","город Оленегорск, Мурманская область, Россия, 184530","68.140492,33.270571","68.14046,33.270104"
"ФКУ СИЗО-1 УФСИН России по Мурманской области | Мурманская область","ул. Радищева, д.32, город Мурманск, Мурманская область, Россия, 183027","68.954308,33.109868","68.954309,33.10988"
"ФКУ СИЗО-2 УФСИН России по Мурманской области | Мурманская область","Трудовая ул, влд. 24а, город Апатиты, Мурманская область, Россия, 184209","67.56334,33.365884","67.560377,33.368882"
"Нижний Новгород | ФКУ «ИК № 2 ГУФСИН по Нижегородской области»","Коломенская ул, д. 20, город Нижний Новгород, Нижегородская область, Россия, 603041","56.23906,43.841989","56.239063,43.842053"
